gene,importance
ARID5B,0.0
AKAP12,0.0
PKHD1L1,0.0
PLXNA4,0.0
EMCN,0.0
STRBP,0.0
SCN4B,0.0
SCN4A,0.0
PPAP2B,0.0
PHF17,0.0
CELF2,0.0
FGD4,0.0
RACGAP1,0.0
KIF26B,0.0
C18orf34,0.0
HHATL,0.0
PLSCR4,0.0
SAMD4A,0.0
ENPP2,0.0
WDR34,0.0
LDB2,0.0
CENPA,0.0
CENPE,0.0
CENPF,0.0
ECT2,0.0
ITPRIPL1,0.0
FHL5,0.0
FHL1,0.0
LAGE3,0.0
MELK,0.0
BTNL9,0.0
CLIC5,0.0
GSN,0.0
FAM126A,0.0
AQP1,0.0
AQP7,0.0
CYMP,0.0
HN1L,0.0
EZH1,0.0
GPR109B,0.0
FEZ2,0.0
ODF3L1,0.0
CLDN19,0.0
CLDN11,0.0
CMA1,0.0
TMEM132C,0.0
C9orf125,0.0
MOBKL2C,0.0
MAMDC2,0.0
HTR4,0.0
SPAG5,0.0
TXNIP,0.0
WBP4,0.0
TRIP13,0.0
CASQ2,0.0
FLAD1,0.0
ABCA9,0.0
ABCA8,0.0
ABCA5,0.0
ABCA6,0.0
SMYD4,0.0
RAD51AP1,0.0
GPX3,0.0
TMEM22,0.0
KIF2C,0.0
C12orf39,0.0
S1PR1,0.0
EGFLAM,0.0
GPR17,0.0
GPR172A,0.0
GPR109A,0.0
DPYSL2,0.0
BGN,0.0
INTS7,0.0
SOX7,0.0
RAD51,0.0
KL,0.0
ESM1,0.0
CST1,0.0
CDT1,0.0
ITIH5,0.0
C19orf69,0.0
CACHD1,0.0
MYLK,0.0
INHBA,0.0
TPRN,0.0
SLC7A10,0.0
SLC7A14,0.0
CFL1,0.0
CFL2,0.0
CRYAB,0.0
TCEAL7,0.0
TNFRSF10D,0.0
GYS2,0.0
SMYD1,0.0
SLC2A4,0.0
CRTAP,0.0
ATP1A2,0.0
PMM2,0.0
NMUR1,0.0
TIMP4,0.0
RYR3,0.0
PLCZ1,0.0
DNAH14,0.0
ADCYAP1R1,0.0
NUSAP1,0.0
LOC285205,0.0
SYN2,0.0
NXNL1,0.0
POLE2,0.0
CORO2B,0.0
CRHBP,0.0
FAM13C,0.0
HBG1,0.0
GIPC2,0.0
HLF,0.0
